"Enzymes of a reaction from New SmartTable - 2018-07-17T16:21:40-07:00"	"Matches"
MONOMER-16012	RXN-5081 // RXN-9640 // RXN-5066 // RXN-9641
MONOMER-15017	RXN-10760 // RXN-10759
CPLX-8545	MANDELONITRILE-LYASE-RXN
MONOMER-19927	RXN-17966
MONOMER-17565	ACETONE-CYANHYDRIN-LYASE-RXN // RXN-11733
CPLX-4481	ACETONE-CYANHYDRIN-LYASE-RXN
G6284-MONOMER	URUR-RXN
MONOMER-18325	RXN-15016
MONOMER-17532	RXN-17556 // RXN-10137
CPLX-8204	RXN-17556 // RXN-10137
CPLX-7817	RXN-17556 // RXN-10137
MONOMER-19837	RXN-17589
CPLX-9285	PHENYLPYRUVATE-TAUTOMERASE-RXN // RXN1K-87 // RXN-7282 // RXN-12354 // RXN-19491
CPLX-8993	4.2.1.111-RXN
MONOMER-19294	4.2.1.111-RXN // RXN-8986 // RXN-14306 // RXN-16610
MONOMER-16249	ETHYL-RXN
MONOMER-15544	ETHYL-RXN
MONOMER-15566	R305-RXN
CPLX0-1401	4.3.1.15-RXN
MONOMER-349	RXN-18111 // RXN-18110 // RXN-13155 // 1.13.11.14-RXN
MONOMER-18584	1.13.11.14-RXN
MONOMER-17249	RXN-13154 // RXN-13155
CPLX-6950	23-DIMETHYLMALATE-LYASE-RXN
CPLX-7473	RXN-8823
MONOMER-17950	RXN-14359
CPLX-8963	RXN-16303
MONOMER-19140	RXN-16309
CPLX-6928	1.13.11.9-RXN
MONOMER-19259	1.13.11.9-RXN
MONOMER-19248	1.13.11.9-RXN
MONOMER-15548	1.13.11.9-RXN
MONOMER-17168	RXN-13093
MONOMER-17169	RXN-13093
CPLX-9291	3.5.1.29-RXN
MONOMER-15247	2-ACETOLACTATE-MUTASE-RXN // RXN-14106
MONOMER-13360	AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN
MONOMER-15635	AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN
CPLX-8449	RXN-13135
CPLX-7465	3.5.99.5-RXN
MONOMER-13354	RXN-8840 // 3.5.99.5-RXN
CPLX-7481	3.5.99.5-RXN
MONOMER-13362	3.5.99.5-RXN
MONOMER-13346	RXN-8845
CPLX-7821	3.5.99.5-RXN
CPLX-7476	RXN-8818
CPLX-7819	RXN-8818
CPLX-7467	RXN-8818
