Namespace(batch_size=100, dataset='qm9', datasetPath='/scratch/zuck016/mpnn-data/qm9/dsgdb9nsd/', epochs=50, logPath='./log/qm9/mpnn/', log_interval=20, lr=0.001, lr_decay=0.6, model='MPNNv2', momentum=0.9, no_cuda=False, plotLr=False, plotPath='./plot/qm9/mpnn/', prefetch=2, resume='./checkpoint/qm9/mpnn/', schedule=[0.1, 0.9])
Prepare files
Define model
	Statistics
	Create model
Optimizer
Logger
=> no best model found at './checkpoint/qm9/mpnn/model_best.pth'
Check cuda
	* Cuda
Epoch: [0][20/1139]	Time 1.970 (1.069)	Data 1.613 (0.836)	Loss 0.8155 (0.9853)	Error Ratio 1.5101 (1.3005)
Epoch: [0][40/1139]	Time 1.804 (1.039)	Data 1.613 (0.825)	Loss 0.8671 (0.9265)	Error Ratio 2.7260 (1.7734)
Epoch: [0][60/1139]	Time 1.727 (1.029)	Data 1.537 (0.820)	Loss 0.7746 (0.8720)	Error Ratio 2.0390 (2.0867)
Epoch: [0][80/1139]	Time 1.471 (1.025)	Data 1.286 (0.818)	Loss 0.6954 (0.8310)	Error Ratio 5.0259 (2.3057)
Epoch: [0][100/1139]	Time 1.581 (1.019)	Data 1.385 (0.815)	Loss 0.6948 (0.8100)	Error Ratio 2.4659 (2.4309)
Epoch: [0][120/1139]	Time 1.443 (1.015)	Data 1.237 (0.812)	Loss 1.1666 (0.7951)	Error Ratio 14.4157 (4.1540)
Epoch: [0][140/1139]	Time 1.096 (1.013)	Data 0.931 (0.812)	Loss 0.7094 (0.7884)	Error Ratio 3.3427 (3.8242)
Epoch: [0][160/1139]	Time 1.119 (1.012)	Data 0.911 (0.812)	Loss 0.7451 (0.7810)	Error Ratio 1.1310 (3.6677)
Epoch: [0][180/1139]	Time 1.406 (1.011)	Data 1.162 (0.811)	Loss 0.5698 (0.7710)	Error Ratio 1.5348 (3.5199)
Epoch: [0][200/1139]	Time 1.170 (1.008)	Data 0.940 (0.807)	Loss 0.7814 (0.7607)	Error Ratio 2.2521 (3.3599)
Epoch: [0][220/1139]	Time 1.355 (1.009)	Data 1.128 (0.807)	Loss 0.7903 (0.7508)	Error Ratio 1.8810 (3.2761)
Epoch: [0][240/1139]	Time 1.343 (1.009)	Data 1.137 (0.806)	Loss 0.5742 (0.7362)	Error Ratio 7.8944 (3.1892)
