index	$\Delta G^\circ_f(DFT)$	$\Delta G^\circ_f$(MPNNv2,chemgraph)
2-5-DIHYDROXYPYRIDINE	-398.697434	-394.09088134765625
2-AMINOPHENOL	-362.761949	-364.6184997558594
2-BUTYNE-14-DIOL	-306.345991	-306.0876770019531
2-DEHYDROPANTOYL-LACTONE	-459.053741	-458.61578369140625
2-DEOXYRIBOSE	-497.331001	-494.2602844238281
2-HYDROXY-2-METHYLPROPANENITRILE	-286.5365	-286.0594177246094
2-HYDROXYPYRIDINE	-323.477888	-324.7994689941406
2-METHOXYETHANOL	-269.494828	-267.2098388671875
23-PENTANEDIONE	-345.729675	-344.2880859375
3-CYANOPYRIDINE	-340.488381	-336.0812683105469
3-METHYLBENZYL-ALCOHOL	-385.995819	-388.2499694824219
3-OH-BENZALDEHYDE	-420.741892	-422.7818603515625
3-OH-BENZYL-ALCOHOL	-421.92365	-423.5639343261719
4-AMINO-BUTYRATE	-362.984179	-365.4422302246094
4-HYDROXY-2-BUTYNAL	-305.161238	-298.9615478515625
4-HYDROXY-BENZYL-ALCOHOL	-421.923048	-423.1012878417969
4-HYDROXY-L-PROLINE	-476.294548	-473.1041564941406
4-METHYLBENZYL-ALCOHOL	-385.994282	-388.60528564453125
4-METHYLCATECHOL	-421.938341	-423.88433837890625
4-METHYLPENTANAL	-310.974733	-309.9445495605469
4-METHYLRESORCINOL	-421.936427	-423.2491149902344
5-AMINOPENTANOATE	-402.271817	-404.4681701660156
5-VALEROLACTONE	-345.73348	-341.078857421875
ACETALD	-153.812518	-151.672119140625
ACETAMIDE	-209.187468	-210.1777801513672
ACETOL	-268.331307	-266.287353515625
ACETONE	-193.116476	-191.9966583251953
ACETONE-OXIME	-248.405354	-252.64183044433594
ACETYLENE	-77.327429	-71.51031494140625
AMINOHYDROQUINONE	-437.98416	-439.9326171875
AMMONIA	-56.544961	-57.19287109375
ANILINE	-287.538453	-287.39752197265625
BENZALDEHYDE	-345.517825	-349.1737060546875
BENZENE	-232.192047	-233.9383087158203
BENZENE-NO2	-436.710543	-437.4895935058594
BENZIMIDAZOLE	-379.803959	-382.3124084472656
BENZYL-ALCOHOL	-346.697234	-350.9316711425781
BUTANAL	-232.39356	-231.35818481445312
BUTANEDIOL	-308.804403	-309.568603515625
BUTANOL	-233.579515	-231.15982055664062
BUTYRAMIDE	-287.769373	-288.1343688964844
CATECHOL	-382.641387	-384.02569580078125
CH4	-40.498597	-47.035125732421875
CPD-10099	-366.350902	-367.57330322265625
CPD-101	-385.011959	-385.13623046875
CPD-10303	-438.207001	-435.9205627441406
CPD-10353	-307.625022	-306.789306640625
CPD-10354	-346.91654	-346.783447265625
CPD-10595	-385.992855	-387.702880859375
CPD-10596	-386.002371	-389.2645568847656
CPD-10613	-481.887991	-480.5592041015625
CPD-10687	-401.081561	-403.39697265625
CPD-108	-346.712888	-349.2016296386719
CPD-10835	-342.881105	-342.4438781738281
CPD-10888	-386.006501	-388.7626037597656
CPD-109	-346.71202	-350.2968444824219
CPD-11021	-265.476219	-266.88031005859375
CPD-111	-421.937283	-424.3316650390625
CPD-112	-346.713486	-349.6959533691406
CPD-11435	-287.760264	-287.9068298339844
CPD-11572	-457.832078	-458.32275390625
CPD-11573	-459.012954	-460.4976806640625
CPD-11619	-440.369662	-439.8018493652344
CPD-11622	-456.405887	-455.42352294921875
CPD-11706	-343.34119	-341.45611572265625
CPD-12149	-441.562664	-442.1822204589844
CPD-12150	-441.567006	-441.63909912109375
CPD-123	-398.714545	-399.86102294921875
CPD-12318	-323.462458	-320.88446044921875
CPD-12327	-211.324151	-214.01351928710938
CPD-124	-402.268552	-402.5451354980469
CPD-12428	-394.894525	-395.4170837402344
CPD-12484	-303.819322	-304.48126220703125
CPD-12598	-327.047326	-327.5394592285156
CPD-12700	-325.82893	-323.5524597167969
CPD-12925	-489.984911	-489.7666015625
CPD-12975	-424.317462	-424.9149475097656
CPD-13220	-271.699649	-273.8798828125
CPD-13223	-310.990516	-315.0001525878906
CPD-13300	-210.12818	-208.77395629882812
CPD-13346	-386.228541	-385.712646484375
CPD-13482	-402.042931	-403.81170654296875
CPD-13555	-307.604035	-305.6628112792969
CPD-13560	-308.79022	-301.98272705078125
CPD-13594	-326.835041	-328.556640625
CPD-13773	-384.767127	-387.3910827636719
CPD-14078	-398.701938	-399.0384216308594
CPD-14102	-344.504224	-349.82940673828125
CPD-14135	-437.982841	-439.82916259765625
CPD-14170	-386.000988	-389.3245849609375
CPD-1421	-310.782636	-316.99542236328125
CPD-1422	-310.787271	-317.6562194824219
CPD-14534	-284.390143	-278.5802001953125
CPD-14546	-301.433583	-297.55877685546875
